pregunta,respuesta,tema,dificultad
¿Qué significa WWW?,World Wide Web,Tecnologia,muy-facil
¿Cuál es el navegador web más usado?,Chrome,Tecnologia,muy-facil
¿Qué es un smartphone?,Un teléfono inteligente,Tecnologia,muy-facil
¿Para qué sirve el WiFi?,Para conectarse a internet sin cables,Tecnologia,muy-facil
¿Qué es YouTube?,Una plataforma de videos en línea,Tecnologia,muy-facil
¿Qué significa USB?,Universal Serial Bus,Tecnologia,muy-facil
¿Cuál es la red social más grande?,Facebook,Tecnologia,muy-facil
¿Qué es un virus informático?,Un programa malicioso que daña computadoras,Tecnologia,muy-facil
¿Para qué sirve una contraseña?,Para proteger cuentas y datos personales,Tecnologia,muy-facil
¿Qué es WhatsApp?,Una aplicación de mensajería instantánea,Tecnologia,muy-facil
¿Qué es Instagram?,Una red social para compartir fotos y videos,Tecnologia,muy-facil
¿Cuál es el sistema operativo de iPhone?,iOS,Tecnologia,muy-facil
¿Qué significa GPS?,Global Positioning System,Tecnologia,muy-facil
¿Para qué sirve Google?,Para buscar información en internet,Tecnologia,muy-facil
¿Qué es una aplicación móvil?,Un programa diseñado para dispositivos móviles,Tecnologia,muy-facil
¿Qué es Bluetooth?,Una tecnología de conexión inalámbrica de corto alcance,Tecnologia,muy-facil
¿Cuál es la empresa creadora de Windows?,Microsoft,Tecnologia,muy-facil
¿Qué es un email?,Correo electrónico,Tecnologia,muy-facil
¿Para qué sirve una cámara web?,Para hacer videollamadas y grabar videos,Tecnologia,muy-facil
¿Qué es Netflix?,Una plataforma de streaming de películas y series,Tecnologia,muy-facil
¿Qué es HTML?,Un lenguaje de marcado para crear páginas web,Tecnologia,facil
¿Cuál es la diferencia entre RAM y ROM?,RAM es memoria temporal y ROM es permanente,Tecnologia,facil
¿Qué es la nube en informática?,Almacenamiento y servicios a través de internet,Tecnologia,facil
¿Para qué sirve un firewall?,Para proteger una red de accesos no autorizados,Tecnologia,facil
¿Qué es un sistema operativo?,Software que gestiona los recursos del computador,Tecnologia,facil
¿Cuál es la diferencia entre 4G y 5G?,5G es más rápido y tiene menor latencia que 4G,Tecnologia,facil
¿Qué es un algoritmo?,Una secuencia de pasos para resolver un problema,Tecnologia,facil
¿Para qué sirve un antivirus?,Para detectar y eliminar software malicioso,Tecnologia,facil
¿Qué es la inteligencia artificial?,Tecnología que simula la inteligencia humana,Tecnologia,facil
¿Cuál es la función de un router?,Dirigir el tráfico de datos en una red,Tecnologia,facil
¿Qué es una base de datos?,Un sistema organizado para almacenar información,Tecnologia,facil
¿Para qué sirve JavaScript?,Para crear interactividad en páginas web,Tecnologia,facil
¿Qué es un servidor web?,Un computador que aloja y sirve páginas web,Tecnologia,facil
